col,stat,tipo,canal,canal_desc,operacion,window,is_smmlv
trx_mnt_cajero_pag,trx,mnt,cajero,cajero,pag,none,False
trx_mnt_cajero_ava,trx,mnt,cajero,cajero,ava,none,False
trx_mnt_cajero_ret,trx,mnt,cajero,cajero,ret,none,False
trx_mnt_cajero_trf,trx,mnt,cajero,cajero,trf,none,False
trx_mnt_cr_bcrio_ret,trx,mnt,cr_bcrio,cr_bcrio,ret,none,False
trx_mnt_cr_bcrio_trf,trx,mnt,cr_bcrio,cr_bcrio,trf,none,False
trx_mnt_pos_cmpr,trx,mnt,pos,pos,cmpr,none,False
trx_mnt_pos_pag,trx,mnt,pos,pos,pag,none,False
trx_mnt_pos_ret,trx,mnt,pos,pos,ret,none,False
trx_mnt_pse_emp_cmpr,trx,mnt,pse_emp,pse empresas,cmpr,none,False
trx_mnt_pse_per_cmpr,trx,mnt,pse_per,pse personas,cmpr,none,False
trx_mnt_rec_e_v_cmpr,trx,mnt,rec_e_v,rec_e_v,cmpr,none,False
trx_mnt_rec_e_v_pag,trx,mnt,rec_e_v,rec_e_v,pag,none,False
trx_mnt_suc_fis_dep,trx,mnt,suc_fis_dep,suc_fis_dep,none,none,False
trx_mnt_suc_fis_pag,trx,mnt,suc_fis,sucursal fisica,pag,none,False
trx_mnt_suc_fis_ret,trx,mnt,suc_fis,sucursal fisica,ret,none,False
trx_mnt_suc_fis_trf,trx,mnt,suc_fis,sucursal fisica,trf,none,False
trx_mnt_suc_tel_pag_ob,trx,mnt,suc_tel_pag,sucursal telefonica,ob,none,False
trx_mnt_suc_tel_ut_c_cr,trx,mnt,suc_tel_ut_c,suc_tel_ut_c,cr,none,False
trx_mnt_sv_pyme_trf,trx,mnt,sv_pyme,sucursal virtual pymes,trf,none,False
trx_mnt_sve_dvs,trx,mnt,sve_dvs,sve_dvs,none,none,False
trx_mnt_sve_pag,trx,mnt,sve_pag,sve_pag,none,none,False
trx_mnt_sve_pag_ob,trx,mnt,sve_pag,sve_pag,ob,none,False
trx_mnt_sve_trf,trx,mnt,sve,sucursal virtual empresa,trf,none,False
trx_mnt_sve_ut_c_cr,trx,mnt,sve_ut_c,sve_ut_c,cr,none,False
trx_mnt_svp_dvs,trx,mnt,svp_dvs,svp_dvs,none,none,False
trx_mnt_svp_pag,trx,mnt,svp,sucursal virtual personas,pag,none,False
trx_mnt_svp_pag_ob,trx,mnt,svp,sucursal virtual personas,pag_ob,none,False
trx_mnt_svp_ava,trx,mnt,svp,sucursal virtual personas,ava,none,False
trx_mnt_svp_trf,trx,mnt,svp,sucursal virtual personas,trf,none,False
trx_mnt_svp_ut_c_cr,trx,mnt,svp,sucursal virtual personas,ut_c_cr,none,False
trx_mnt_can_app_per,trx,mnt,app_per,app personas,can,none,False
trx_mnt_can_app_pyme,trx,mnt,app_pyme,app pymes,can,none,False
trx_mnt_can_bill_mvl,trx,mnt,bill_mvl,billetera movil,can,none,False
trx_mnt_can_btn_bco,trx,mnt,btn_bco,boton banco,can,none,False
trx_mnt_can_cajero,trx,mnt,cajero,cajero,can,none,False
trx_mnt_can_cr_bcrio,trx,mnt,cr_bcrio,cr_bcrio,can,none,False
trx_mnt_can_pos,trx,mnt,pos,pos,can,none,False
trx_mnt_can_pse_emp,trx,mnt,pse_emp,pse empresas,can,none,False
trx_mnt_can_pse_per,trx,mnt,pse_per,pse personas,can,none,False
trx_mnt_can_rec_e_v,trx,mnt,rec_e_v,rec_e_v,can,none,False
trx_mnt_can_suc_fis,trx,mnt,suc_fis,sucursal fisica,can,none,False
trx_mnt_can_suc_tel,trx,mnt,,,can_suc_tel,none,False
trx_mnt_can_sv_pyme,trx,mnt,sv_pyme,sucursal virtual pymes,can,none,False
trx_mnt_can_sve,trx,mnt,sve,sucursal virtual empresa,can,none,False
trx_mnt_can_svp,trx,mnt,svp,sucursal virtual personas,can,none,False
trx_mnt_gr_pag,trx,mnt,gr,gr,pag,none,False
trx_mnt_gr_rcg,trx,mnt,gr,gr,rcg,none,False
trx_mnt_gr_trf,trx,mnt,gr,gr,trf,none,False
trx_mnt_gr_pag_ob,trx,mnt,gr,gr,pag_ob,none,False
trx_mnt_gr_tfy,trx,mnt,gr,gr,tfy,none,False
trx_mnt_gr_ava,trx,mnt,gr,gr,ava,none,False
trx_mnt_gr_ut_c_cr,trx,mnt,gr,gr,ut_c_cr,none,False
trx_mnt_gr_cmpr,trx,mnt,gr,gr,cmpr,none,False
trx_mnt_gr_dep,trx,mnt,gr,gr,dep,none,False
trx_mnt_gr_ret,trx,mnt,gr,gr,ret,none,False
trx_mnt_gr_dvs,trx,mnt,gr,gr,dvs,none,False
trx_mnt_app_per_pag_smmlv,trx,mnt,app_per_pag,app_per_pag,none,none,True
trx_mnt_app_per_pag_ob_smmlv,trx,mnt,app_per_pag,app_per_pag,ob,none,True
trx_mnt_app_per_tfy_smmlv,trx,mnt,app_per_tfy,app_per_tfy,none,none,True
trx_mnt_app_per_trf_smmlv,trx,mnt,app_per,app personas,trf,none,True
trx_mnt_app_per_ava_smmlv,trx,mnt,app_per,app personas,ava,none,True
trx_mnt_app_per_ut_c_cr_smmlv,trx,mnt,app_per_ut_c,app_per_ut_c,cr,none,True
trx_mnt_app_pyme_trf_smmlv,trx,mnt,app_pyme,app pymes,trf,none,True
trx_mnt_bill_mvl_cmpr_smmlv,trx,mnt,bill_mvl,billetera movil,cmpr,none,True
trx_mnt_btn_bco_trf_smmlv,trx,mnt,btn_bco,boton banco,trf,none,True
trx_mnt_cajero_pag_smmlv,trx,mnt,cajero,cajero,pag,none,True
trx_mnt_cajero_ava_smmlv,trx,mnt,cajero,cajero,ava,none,True
trx_mnt_cajero_ret_smmlv,trx,mnt,cajero,cajero,ret,none,True
trx_mnt_cajero_trf_smmlv,trx,mnt,cajero,cajero,trf,none,True
trx_mnt_cr_bcrio_ret_smmlv,trx,mnt,cr_bcrio,cr_bcrio,ret,none,True
